Time;Scenario;Key Event;User/Identity;Detection;Response
03:12;1;Spam burst against monitored tenant;mail-relay-01;Detected;Alert triggered, sender blocklist updated
03:45;2;Malware attachment detonated in inbox workflow;finance.user@example.com;Detected;Alert triggered, attachment quarantine initiated
04:15;3;Unauthorized access from stolen credentials;workstation-admin;Detected;Account disabled, session revoked
06:02;4;Business email compromise workflow abuse;ceo-mailbox@example.com;Detected;Mailbox rules disabled, alert triggered
07:22;5;OAuth abuse through rogue consent grant;app-registration-ops;Detected;OAuth grant deleted, consent review initiated
10:12;6;Vendor compromise creates downstream fraud path;vendor-automation-user;Detected;Vendor access disabled, rollback initiated
13:22;7;Insider misuse expands privileged access and staging;privileged.analyst@example.com;Detected;Privileged session disabled, exfil alert triggered
15:03;8;Token replay and impossible travel session hijack;dev_lead@example.com;Detected;Token blacklisted, account locked
16:12;9;Lateral movement via shadow OAuth application;dev_lead@example.com;Detected;OAuth grant deleted, malicious app disabled
17:22;10;Service principal hijack of production workload;sp-prod-backup-manager;Detected;Service Principal disabled, secrets rotated
18:12;11;K8s sidecar breakout reaches node boundary;sp-prod-backup-manager;Detected;Pod deleted, node cordoned, policy enforced
19:12;12;Supply-chain poisoning causes artifact drift;automation-bot (impersonated);Detected;Pipeline halted, rollback initiated
20:12;13;Serialized exploit payload targets public profile API;profile-api;Behavioral anomaly;Endpoint disabled, alert triggered
20:13;13;Unexpected python process spawn and NET_ADMIN request;profile-api;Runtime anomaly;Pod isolated, secrets rotated
20:14;13;SSH lateral movement and 48 MB exfiltration to attacker IP;profile-api;UEBA escalation;Attacker IP blocked, secrets rotated
20:15;13;Cron persistence created after full runtime compromise;profile-api;UEBA critical;Forensics started, clean rebuild initiated
21:12;14;Untrusted encryptor launches on on-prem file server;fileserver-02;EDR anomaly;Host isolated, ransomware response initiated
21:12;14;Golden ticket used by backup service account for hybrid pivot;svc-backup;Identity anomaly;Service account disabled, Kerberos review started
21:13;14;Cloud VM mass encryption and sustained CPU saturation detected;prod-app-01;Compute anomaly;VM quarantined, backup jobs halted
21:13;14;Kubernetes workload deletes application data and overwrites root filesystem;payments-api;Runtime anomaly;Node quarantined, workload contained
21:14;14;Object storage rewritten to locked extensions at catastrophic volume;customer-records;Storage anomaly;Bucket access blocked, snapshot review initiated
21:14;14;Ransom note written to system banner on compromised host;hybrid-runtime;Behavioral anomaly;IR war room activated
21:15;14;Outbound status beacon confirms detonation success;hybrid-estate;C2 detection;Attacker IP blocked, executive escalation initiated
22:12;15;Federated token issued from compromised Tenant A using unknown device fingerprint;contractor_jane@tenantA.com;Federation anomaly;Federation trust review initiated, token issuance triaged
22:12;15;Federated identity assumes Tenant B global admin role outside normal policy;contractor_jane@tenantA.com;IAM anomaly;Cross-tenant role assumption blocked, privileged session revoked
22:13;15;Rogue service principal created and restricted secrets container accessed;shadow-app;Cloud control-plane anomaly;Service principal disabled, secret rotation initiated
22:14;15;Rogue federation trust created and 6.2 GB outbound transfer confirms exfiltration;tenantB federation plane;UEBA critical;Federation trust disabled, attacker IP blocked, emergency rotation started
23:12;16;IdP admin login from attacker IP bypasses MFA through abused trusted-device path;idp-admin;Identity anomaly;Admin session isolated, emergency IdP incident declared
23:12;16;OIDC signing key exported from keystore without approved change control;oidc-signing-key-01;Keystore anomaly;Key rotation initiated, token trust review started
23:13;16;Forged 48-hour token validates and assumes GlobalAdmin without interactive MFA;ceo@example.com;Token policy anomaly;Global token invalidation initiated, privileged sessions revoked
23:14;16;Multi-service impersonation and rogue signing key creation establish persistence;idp trust plane;Identity collapse;Rogue key removed, IdP rebuild started
23:15;16;12.4 GB outbound transfer confirms global identity-enabled exfiltration;global identity fabric;UEBA critical;Attacker IP blocked, leadership and compliance escalation activated
00:12;17;Non-allowlisted process reads TPM PCR state and opens enclave debug session on node-7;node-7;Hardware anomaly;Node isolated, hardware incident declared
